Fecha,Hora,Parque La Granja-Sta Cruz de TF DD (Grd),Flag,Parque La Granja-Sta Cruz de TF VV (m/s),Flag,Parque La Granja-Sta Cruz de TF TMP (ºC),Flag,Parque La Granja-Sta Cruz de TF HR (%),Flag,Parque La Granja-Sta Cruz de TF PRB (mb),Flag
17-04-2015,24:00,136,V,1.6,V,18.1,V,,N,1005,V
18-04-2015,24:00,199,V,2.2,V,18.2,V,,N,1005,V
19-04-2015,24:00,155,V,2.2,V,17.6,V,,N,1006,V
20-04-2015,24:00,222,V,1.7,V,17.8,V,,N,1005,V
21-04-2015,24:00,180,V,1.9,V,18,V,,N,1005,V
22-04-2015,24:00,134,V,2,V,17.3,V,,N,1007,V
23-04-2015,24:00,180,V,1.5,V,17.2,V,,N,1006,V
24-04-2015,24:00,157,V,1.9,V,17.5,V,,N,1006,V
25-04-2015,24:00,182,V,1.9,V,18.1,V,,N,1006,V
26-04-2015,24:00,178,V,2.1,V,19.7,V,,N,1006,V
27-04-2015,24:00,155,V,1.4,V,19.3,V,,N,1006,V
28-04-2015,24:00,133,V,1.6,V,18.3,V,,N,1007,V
29-04-2015,24:00,151,V,1.8,V,17.8,V,,N,1007,V
30-04-2015,24:00,115,V,1.5,V,18.1,V,,N,1007,V
01-05-2015,24:00,180,V,2.1,V,18.6,V,,N,1005,V
02-05-2015,24:00,159,V,1.8,V,20.2,V,,N,1002,V
03-05-2015,24:00,181,V,1.5,V,21,V,,N,1002,V
04-05-2015,24:00,181,V,1.5,V,19.6,V,,N,1003,V
05-05-2015,24:00,134,V,1.6,V,20.2,V,,N,1004,V
06-05-2015,24:00,132,V,1.5,V,18.9,V,,N,1004,V
07-05-2015,24:00,292,V,1.1,V,20.1,V,,N,1005,V
08-05-2015,24:00,227,V,1.4,V,21.1,V,,N,1008,V
09-05-2015,24:00,131,V,1.9,V,19.7,V,,N,1007,V
10-05-2015,24:00,157,V,1.4,V,19.8,V,,N,1005,V
11-05-2015,24:00,152,V,1.3,V,20.2,V,,N,1003,V
12-05-2015,24:00,180,V,1.2,V,24.5,V,,N,1002,V
13-05-2015,24:00,155,V,1.1,V,27.4,V,,N,1003,V
14-05-2015,24:00,184,V,1.3,V,25.8,V,,N,1004,V
15-05-2015,24:00,155,V,1.6,V,23.9,V,,N,1005,V
16-05-2015,24:00,137,V,1.6,V,21.8,V,,N,1006,V
17-05-2015,24:00,287,V,1.7,V,22.4,V,,N,1005,V
18-05-2015,24:00,294,V,2.5,V,20.1,V,,N,1004,V
19-05-2015,24:00,155,V,2.9,V,20,V,,N,1006,V
20-05-2015,24:00,200,V,2.9,V,19.2,V,,N,1008,V
21-05-2015,24:00,,N,,N,,N,,N,,N
22-05-2015,24:00,205,V,3.1,V,,N,,N,,N
23-05-2015,24:00,223,V,2.4,V,18.6,V,,N,1007,V
24-05-2015,24:00,245,V,2.5,V,19.3,V,,N,1006,V
25-05-2015,24:00,249,V,1.6,V,19.5,V,,N,1006,V
26-05-2015,24:00,246,V,1.3,V,19.8,V,,N,1006,V
27-05-2015,24:00,272,V,2,V,19.7,V,,N,1005,V
28-05-2015,24:00,292,V,1.6,V,20.4,V,,N,1004,V
29-05-2015,24:00,139,V,1.8,V,20.3,V,,N,1005,V
30-05-2015,24:00,271,V,1.1,V,20.2,V,,N,1006,V
31-05-2015,24:00,288,V,1.9,V,21.1,V,,N,1007,V
01-06-2015,24:00,203,V,2.5,V,19.9,V,,N,1008,V
02-06-2015,24:00,201,V,2.8,V,19.8,V,,N,1005,V
03-06-2015,24:00,292,V,1.8,V,20.8,V,,N,1005,V
04-06-2015,24:00,294,V,1.8,V,20.9,V,,N,1004,V
05-06-2015,24:00,270,V,2.2,V,20,V,,N,1002,V
06-06-2015,24:00,273,V,2,V,20.7,V,,N,1002,V
07-06-2015,24:00,270,V,1.6,V,21.1,V,,N,1004,V
08-06-2015,24:00,246,V,1.1,V,20.7,V,,N,1005,V
09-06-2015,24:00,137,V,1.7,V,19.8,V,,N,1005,V
10-06-2015,24:00,162,V,1.5,V,19.8,V,,N,1005,V
11-06-2015,24:00,179,V,1.5,V,19.7,V,,N,1005,V
12-06-2015,24:00,179,V,1.9,V,20.1,V,,N,1006,V
13-06-2015,24:00,180,V,2.2,V,20.7,V,,N,1006,V
14-06-2015,24:00,207,V,1.7,V,20.9,V,,N,1007,V
15-06-2015,24:00,205,V,1.8,V,20.8,V,,N,1009,V
16-06-2015,24:00,156,V,1.8,V,20.7,V,,N,1009,V
17-06-2015,24:00,227,V,1.3,V,21.1,V,,N,1007,V
18-06-2015,24:00,270,V,1.1,V,21.6,V,,N,1005,V
19-06-2015,24:00,296,V,1.5,V,22,V,,N,1005,V
20-06-2015,24:00,160,V,2.1,V,21.8,V,,N,1006,V
21-06-2015,24:00,173,V,2.5,V,21.2,V,,N,1006,V
22-06-2015,24:00,271,V,1.8,V,21.5,V,,N,1007,V
23-06-2015,24:00,249,V,1.4,V,22.1,V,,N,1008,V
24-06-2015,24:00,251,V,2.1,V,22.7,V,,N,1008,V
25-06-2015,24:00,287,V,1.5,V,22.3,V,,N,1008,V
26-06-2015,24:00,270,V,2.1,V,22.5,V,,N,1008,V
27-06-2015,24:00,272,V,1.6,V,22.7,V,,N,1006,V
28-06-2015,24:00,179,V,1.8,V,24,V,,N,1006,V
29-06-2015,24:00,176,V,1.7,V,23.1,V,,N,1005,V
