Fecha,Hora,Parque La Granja-Sta Cruz de TF SO2 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF CO (mg/m³),Flag,Parque La Granja-Sta Cruz de TF NO2 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF PM10 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF NOX (µg/m³),Flag
05-05-2015,24:00,2,V,0.4,V,18,V,,N,17,V
06-05-2015,24:00,2,V,0.5,V,16,V,,N,16,V
07-05-2015,24:00,4,V,0.5,V,22,V,,N,26,V
08-05-2015,24:00,2,V,0.4,V,16,V,,N,16,V
09-05-2015,24:00,3,V,0.4,V,14,V,,N,14,V
10-05-2015,24:00,4,V,0.4,V,15,V,,N,15,V
11-05-2015,24:00,,N,,N,,N,,N,,N
12-05-2015,24:00,10,V,0.6,V,63,V,,N,84,V
13-05-2015,24:00,6,V,0.5,V,62,V,,N,82,V
14-05-2015,24:00,8,V,0.5,V,46,V,,N,65,V
15-05-2015,24:00,5,V,0.5,V,28,V,,N,29,V
16-05-2015,24:00,4,V,0.4,V,18,V,,N,18,V
17-05-2015,24:00,5,V,0.4,V,12,V,,N,12,V
18-05-2015,24:00,2,V,0.4,V,6,V,,N,5,V
19-05-2015,24:00,2,V,0.4,V,7,V,,N,5,V
20-05-2015,24:00,2,V,0.4,V,6,V,,N,5,V
21-05-2015,24:00,,N,,N,,N,,N,,N
22-05-2015,24:00,,N,,N,,N,,N,,N
23-05-2015,24:00,2,V,0.4,V,5,V,,N,4,V
24-05-2015,24:00,2,V,0.4,V,5,V,,N,4,V
25-05-2015,24:00,2,V,0.4,V,6,V,,N,6,V
26-05-2015,24:00,2,V,0.4,V,9,V,,N,9,V
27-05-2015,24:00,2,V,0.4,V,7,V,,N,6,V
28-05-2015,24:00,2,V,0.4,V,7,V,,N,6,V
29-05-2015,24:00,2,V,0.4,V,16,V,,N,16,V
30-05-2015,24:00,2,V,0.4,V,9,V,,N,8,V
31-05-2015,24:00,2,V,0.4,V,7,V,,N,5,V
01-06-2015,24:00,2,V,0.4,V,7,V,,N,7,V
02-06-2015,24:00,2,V,0.4,V,7,V,,N,5,V
