Fecha,Hora,"Parque La Granja-Sta Cruz de TF PM2,5 (µg/m³)",Flag,Parque La Granja-Sta Cruz de TF O3 (µg/m³),Flag,Parque La Granja-Sta Cruz de TF TOL (µg/m³),Flag,Parque La Granja-Sta Cruz de TF BEN (µg/m³),Flag,Parque La Granja-Sta Cruz de TF XIL (µg/m³),Flag
11-07-2015,24:00,,N,34,V,0.1,V,0.2,V,0.2,V
12-07-2015,24:00,,N,30,V,0.1,V,0.1,V,0.1,V
13-07-2015,24:00,,N,38,V,0.1,V,0.2,V,0.2,V
14-07-2015,24:00,,N,39,V,1.3,V,1,V,2.9,V
15-07-2015,24:00,,N,43,V,0.2,V,0.4,V,0.4,V
16-07-2015,24:00,,N,38,V,0.1,V,0.2,V,0.1,V
17-07-2015,24:00,,N,24,V,0.1,V,0.5,V,0.1,V
18-07-2015,24:00,,N,25,V,0.1,V,0.2,V,0.1,V
19-07-2015,24:00,,N,26,V,0.1,V,0.1,V,0.1,V
20-07-2015,24:00,,N,39,V,0.1,V,0.1,V,0.1,V
21-07-2015,24:00,,N,56,V,0.1,V,0.1,V,0.2,V
22-07-2015,24:00,,N,48,V,0.1,V,0.1,V,0.2,V
23-07-2015,24:00,,N,51,V,0.2,V,0.2,V,0.3,V
24-07-2015,24:00,,N,65,V,0.1,V,0.2,V,0.2,V
25-07-2015,24:00,,N,47,V,0.1,V,0.1,V,0.1,V
26-07-2015,24:00,,N,83,V,0.1,V,0.1,V,0.1,V
27-07-2015,24:00,,N,80,V,0.1,V,0.1,V,0.1,V
28-07-2015,24:00,,N,64,V,0.2,V,0.3,V,0.4,V
29-07-2015,24:00,,N,47,V,0.5,V,0.3,V,1,V
30-07-2015,24:00,,N,46,V,0.1,V,0.1,V,0.1,V
31-07-2015,24:00,,N,59,V,0.1,V,0.1,V,0.1,V
01-08-2015,24:00,,N,83,V,0.1,V,0.1,V,0.1,V
02-08-2015,24:00,,N,92,V,0.1,V,0.1,V,0.1,V
03-08-2015,24:00,,N,93,V,0.1,V,0.1,V,0.1,V
04-08-2015,24:00,,N,64,V,0.7,V,0.5,V,1.6,V
05-08-2015,24:00,,N,53,V,0.2,V,0.1,V,0.4,V
06-08-2015,24:00,,N,66,V,0.1,V,0.2,V,0.2,V
07-08-2015,24:00,,N,66,V,0.2,V,0.2,V,0.3,V
08-08-2015,24:00,,N,71,V,0.1,V,0.2,V,0.2,V
09-08-2015,24:00,,N,78,V,0.1,V,0.2,V,0.2,V
10-08-2015,24:00,,N,44,V,0.7,V,0.8,V,1.7,V
11-08-2015,24:00,,N,41,V,1.7,V,2,V,3.9,V
12-08-2015,24:00,,N,53,V,0.9,V,0.7,V,2,V
13-08-2015,24:00,,N,48,V,0.2,V,0.4,V,0.5,V
14-08-2015,24:00,,N,55,V,0.2,V,0.2,V,0.3,V
15-08-2015,24:00,,N,73,V,0.1,V,0.1,V,0.1,V
16-08-2015,24:00,,N,57,V,0.1,V,0.1,V,0.1,V
17-08-2015,24:00,,N,52,V,0.1,V,0.1,V,0.1,V
18-08-2015,24:00,,N,49,V,0.6,V,0.5,V,1.4,V
19-08-2015,24:00,,N,53,V,0.1,V,0.2,V,0.2,V
20-08-2015,24:00,,N,66,V,0.2,V,0.2,V,0.3,V
21-08-2015,24:00,,N,65,V,0.2,V,0.5,V,0.5,V
22-08-2015,24:00,,N,69,V,0.1,V,0.1,V,0.1,V
23-08-2015,24:00,,N,50,V,0.1,V,0.1,V,0.1,V
24-08-2015,24:00,,N,60,V,0.2,V,0.2,V,0.3,V
25-08-2015,24:00,,N,70,V,0.5,V,0.5,V,1.2,V
26-08-2015,24:00,,N,69,V,0.1,V,0.1,V,0.1,V
27-08-2015,24:00,4,V,68,V,0.1,V,0.1,V,0.2,V
28-08-2015,24:00,4,V,60,V,0.1,V,0.1,V,0.1,V
29-08-2015,24:00,3,V,55,V,0.1,V,0.2,V,0.1,V
30-08-2015,24:00,3,V,44,V,0.1,V,0.5,V,0.2,V
31-08-2015,24:00,4,V,,N,,N,,N,,N
01-09-2015,24:00,4,V,,N,,N,,N,,N
02-09-2015,24:00,5,V,95,V,0.1,V,0.2,V,0.2,V
03-09-2015,24:00,4,V,80,V,0.2,V,0.2,V,0.3,V
04-09-2015,24:00,4,V,89,V,0.4,V,0.2,V,0.8,V
05-09-2015,24:00,3,V,78,V,0.1,V,0.3,V,0.2,V
06-09-2015,24:00,3,V,38,V,0.2,V,0.8,V,0.5,V
07-09-2015,24:00,3,V,38,V,0.1,V,0.2,V,0.2,V
08-09-2015,24:00,3,V,48,V,0.6,V,0.6,V,1.4,V
09-09-2015,24:00,4,V,63,V,0.2,V,0.3,V,0.4,V
10-09-2015,24:00,5,V,85,V,0.2,V,0.2,V,0.3,V
11-09-2015,24:00,3,V,42,V,0.2,V,0.2,V,0.3,V
12-09-2015,24:00,3,V,56,V,0.1,V,0.3,V,0.2,V
13-09-2015,24:00,2,V,62,V,0.2,V,0.3,V,0.3,V
14-09-2015,24:00,3,V,46,V,0.1,V,0.2,V,0.2,V
15-09-2015,24:00,6,V,47,V,0.6,V,0.5,V,1.2,V
16-09-2015,24:00,4,V,62,V,0.2,V,0.8,V,0.3,V
17-09-2015,24:00,5,V,50,V,0.2,V,0.5,V,0.3,V
18-09-2015,24:00,2,V,30,V,0.2,V,0.3,V,0.4,V
19-09-2015,24:00,3,V,48,V,0.1,V,0.2,V,0.2,V
20-09-2015,24:00,3,V,52,V,0.2,V,0.2,V,0.3,V
21-09-2015,24:00,8,V,41,V,0.7,V,0.4,V,1.6,V
22-09-2015,24:00,13,V,35,V,0.7,V,0.9,V,1.5,V
23-09-2015,24:00,12,V,33,V,0.5,V,0.6,V,1.2,V
24-09-2015,24:00,10,V,38,V,0.3,V,1,V,0.7,V
25-09-2015,24:00,8,V,36,V,0.2,V,0.3,V,0.3,V
26-09-2015,24:00,5,V,39,V,0.1,V,0.2,V,0.2,V
27-09-2015,24:00,4,V,52,V,0.1,V,0.1,V,0.1,V
28-09-2015,24:00,5,V,45,V,0.2,V,0.3,V,0.5,V
29-09-2015,24:00,5,V,40,V,1.5,V,0.5,V,3.4,V
30-09-2015,24:00,5,V,35,V,0.5,V,0.3,V,1,V
01-10-2015,24:00,5,V,39,V,0.6,V,0.4,V,1.4,V
02-10-2015,24:00,7,V,25,V,0.4,V,0.4,V,1,V
03-10-2015,24:00,17,V,19,V,1.4,V,1.7,V,3.3,V
04-10-2015,24:00,16,V,24,V,0.7,V,0.8,V,1.5,V
05-10-2015,24:00,16,V,32,V,0.4,V,0.3,V,0.9,V
06-10-2015,24:00,5,V,42,V,0.2,V,0.3,V,0.4,V
07-10-2015,24:00,5,V,46,V,0.2,V,0.2,V,0.3,V
08-10-2015,24:00,5,V,52,V,0.3,V,0.2,V,0.6,V
09-10-2015,24:00,3,V,47,V,0.3,V,0.3,V,0.6,V
10-10-2015,24:00,3,V,35,V,0.4,V,0.6,V,0.9,V
11-10-2015,24:00,2,V,45,V,0.1,V,0.1,V,0.1,V
12-10-2015,24:00,3,V,54,V,0.1,V,0.2,V,0.2,V
13-10-2015,24:00,3,V,46,V,0.2,V,0.3,V,0.4,V
14-10-2015,24:00,5,V,58,V,0.2,V,0.4,V,0.4,V
15-10-2015,24:00,3,V,41,V,0.4,V,1,V,0.9,V
16-10-2015,24:00,4,V,43,V,0.1,V,0.4,V,0.3,V
17-10-2015,24:00,3,V,63,V,0.1,V,0.2,V,0.2,V
18-10-2015,24:00,2,V,60,V,0.1,V,0.2,V,0.2,V
19-10-2015,24:00,3,V,68,V,0.1,V,0.2,V,0.1,V
20-10-2015,24:00,3,V,60,V,0.1,V,0.3,V,0.3,V
21-10-2015,24:00,3,V,46,V,0.5,V,0.6,V,1.1,V
22-10-2015,24:00,2,V,32,V,0.5,V,0.7,V,1.2,V
23-10-2015,24:00,3,V,31,V,0.8,V,0.8,V,1.7,V
24-10-2015,24:00,3,V,36,V,0.5,V,0.7,V,1.1,V
25-10-2015,24:00,2,V,49,V,0.1,V,0.2,V,0.1,V
26-10-2015,24:00,2,V,56,V,0.2,V,0.3,V,0.3,V
27-10-2015,24:00,2,V,45,V,0.2,V,0.4,V,0.4,V
28-10-2015,24:00,2,V,42,V,0.2,V,0.4,V,0.5,V
29-10-2015,24:00,2,V,53,V,0.2,V,0.3,V,0.5,V
30-10-2015,24:00,2,V,49,V,0.4,V,0.4,V,0.8,V
31-10-2015,24:00,1,V,67,V,0.1,V,0.2,V,0.2,V
