Fecha,Hora,"Parque La Granja-Sta Cruz de TF PM2,5 (µg/m³)",Flag,Parque La Granja-Sta Cruz de TF CO (mg/m³),Flag,Parque La Granja-Sta Cruz de TF BEN (µg/m³),Flag,Parque La Granja-Sta Cruz de TF TOL (µg/m³),Flag,Parque La Granja-Sta Cruz de TF XIL (µg/m³),Flag
02-05-2016,24:00,6,V,0.4,V,0.1,V,0.1,V,0.1,V
03-05-2016,24:00,5,V,0.4,V,0.1,V,0.1,V,0.1,V
04-05-2016,24:00,5,V,0.4,V,0.2,V,0.1,V,0.2,V
05-05-2016,24:00,5,V,0.3,V,0.1,V,0.1,V,0.1,V
06-05-2016,24:00,4,V,0.3,V,0.1,V,0.1,V,0.1,V
07-05-2016,24:00,3,V,0.4,V,0.5,V,0.2,V,0.3,V
08-05-2016,24:00,4,V,0.4,V,0.5,V,0.1,V,0.2,V
09-05-2016,24:00,2,V,0.4,V,0.1,V,0.1,V,0.2,V
10-05-2016,24:00,2,V,0.4,V,0.2,V,0.2,V,0.5,V
11-05-2016,24:00,2,V,0.4,V,0.2,V,0.2,V,0.3,V
12-05-2016,24:00,3,V,0.4,V,0.2,V,0.1,V,0.2,V
13-05-2016,24:00,2,V,0.3,V,0.1,V,0.1,V,0.1,V
14-05-2016,24:00,2,V,0.3,V,0.1,V,0.1,V,0.1,V
15-05-2016,24:00,3,V,0.3,V,0.1,V,0.1,V,0.1,V
16-05-2016,24:00,3,V,0.4,V,0.1,V,0.1,V,0.1,V
17-05-2016,24:00,5,V,0.4,V,0.1,V,0.1,V,0.1,V
18-05-2016,24:00,3,V,0.3,V,0.1,V,0.1,V,0.1,V
19-05-2016,24:00,3,V,0.4,V,0.1,V,0.1,V,0.2,V
20-05-2016,24:00,4,V,0.4,V,0.1,V,0.1,V,0.2,V
21-05-2016,24:00,4,V,0.3,V,0.1,V,0.1,V,0.1,V
22-05-2016,24:00,3,V,0.3,V,0.1,V,0.1,V,0.1,V
23-05-2016,24:00,5,V,0.4,V,0.2,V,0.1,V,0.2,V
24-05-2016,24:00,3,V,0.4,V,0.2,V,0.1,V,0.2,V
25-05-2016,24:00,4,V,0.3,V,0.2,V,0.2,V,0.3,V
26-05-2016,24:00,4,V,0.4,V,0.4,V,0.3,V,0.7,V
27-05-2016,24:00,3,V,0.4,V,0.3,V,0.3,V,0.6,V
28-05-2016,24:00,3,V,0.3,V,0.2,V,0.1,V,0.2,V
29-05-2016,24:00,3,V,0.3,V,0.1,V,0.1,V,0.1,V
30-05-2016,24:00,3,V,0.3,V,0.1,V,0.1,V,0.1,V
31-05-2016,24:00,4,V,0.4,V,0.3,V,0.2,V,0.3,V
01-06-2016,24:00,4,V,0.4,V,0.3,V,0.2,V,0.5,V
02-06-2016,24:00,4,V,0.4,V,0.2,V,0.2,V,0.3,V
03-06-2016,24:00,2,V,0.4,V,0.2,V,0.1,V,0.2,V
04-06-2016,24:00,2,V,0.4,V,0.1,V,0.1,V,0.2,V
05-06-2016,24:00,2,V,0.4,V,0.2,V,0.1,V,0.2,V
06-06-2016,24:00,2,V,0.4,V,0.2,V,0.2,V,0.3,V
07-06-2016,24:00,3,V,0.3,V,0.4,V,0.3,V,0.7,V
08-06-2016,24:00,3,V,0.4,V,0.7,V,2.1,V,4.9,V
09-06-2016,24:00,3,V,0.3,V,0.2,V,0.2,V,0.3,V
10-06-2016,24:00,2,V,0.4,V,0.1,V,0.1,V,0.1,V
11-06-2016,24:00,3,V,0.3,V,0.1,V,0.1,V,0.1,V
12-06-2016,24:00,2,V,0.4,V,0.1,V,0.1,V,0.1,V
13-06-2016,24:00,3,V,0.4,V,0.1,V,0.1,V,0.1,V
14-06-2016,24:00,4,V,0.3,V,0.1,V,0.1,V,0.1,V
15-06-2016,24:00,3,V,0.3,V,0.1,V,0.1,V,0.1,V
16-06-2016,24:00,3,V,0.3,V,0.1,V,0.1,V,0.2,V
17-06-2016,24:00,3,V,0.3,V,0.1,V,0.1,V,0.2,V
18-06-2016,24:00,3,V,0.3,V,0.1,V,0.1,V,0.1,V
19-06-2016,24:00,3,V,0.3,V,0.1,V,0.1,V,0.2,V
20-06-2016,24:00,5,V,0.3,V,0.1,V,0.1,V,0.2,V
21-06-2016,24:00,4,V,0.4,V,0.6,V,0.4,V,0.9,V
22-06-2016,24:00,5,V,0.3,V,0.4,V,0.3,V,0.7,V
23-06-2016,24:00,6,V,0.4,V,0.9,V,0.5,V,1.1,V
24-06-2016,24:00,8,V,0.5,V,2,V,0.7,V,1.6,V
25-06-2016,24:00,5,V,0.4,V,0.8,V,0.6,V,1.4,V
26-06-2016,24:00,3,V,0.3,V,0.1,V,0.1,V,0.1,V
27-06-2016,24:00,5,V,0.3,V,0.1,V,0.1,V,0.1,V
28-06-2016,24:00,5,V,0.3,V,0.1,V,0.1,V,0.1,V
29-06-2016,24:00,4,V,0.3,V,0.1,V,0.1,V,0.1,V
30-06-2016,24:00,4,V,0.3,V,0.2,V,0.2,V,0.3,V
01-07-2016,24:00,3,V,0.3,V,0.1,V,0.1,V,0.1,V
02-07-2016,24:00,3,V,0.3,V,0.1,V,0.1,V,0.1,V
03-07-2016,24:00,2,V,0.3,V,0.1,V,0.1,V,0.1,V
04-07-2016,24:00,3,V,0.3,V,0.1,V,0.1,V,0.1,V
05-07-2016,24:00,4,V,0.3,V,0.1,V,0.1,V,0.1,V
