Fecha,Hora,García Escámez-Sta Cruz de TF TRS (µg/m³),Flag
17-12-2017,24:00,1,V
18-12-2017,24:00,2,V
19-12-2017,24:00,0,V
20-12-2017,24:00,1,V
21-12-2017,24:00,2,V
22-12-2017,24:00,2,V
23-12-2017,24:00,1,V
24-12-2017,24:00,3,V
25-12-2017,24:00,2,V
26-12-2017,24:00,2,V
27-12-2017,24:00,3,V
28-12-2017,24:00,2,V
29-12-2017,24:00,2,V
30-12-2017,24:00,2,V
31-12-2017,24:00,0,V
